Wavelength(nm),Δε_Gaussian,Δε_Lorentzian,Δε_Voigt
233.96655518394647,-24.602023404428024,-4.982273007358814,-16.43128462499997
234.36120401337791,-19.594613327423048,-0.634932263400577,-15.038958540481994
234.75585284280936,-14.604717160959229,3.2550237152916184,-13.63647654503055
235.1505016722408,-9.67243135347096,6.6918223447775285,-12.229548463294739
235.54515050167225,-4.835896735089681,9.691965118697977,-10.823859074754752
235.9397993311037,-0.13086374979919474,12.281284729714798,-9.425011864575147
236.33444816053512,4.409682055107573,14.492128246684127,-8.03847550792348
236.72909698996654,8.755831047403673,16.360812676381457,-6.669533711291428
237.12374581939798,12.880995259183175,17.92542592753564,-5.323238951453853
237.51839464882943,16.762088496331625,19.223988211548743,-4.004370564987186
237.91304347826087,20.37964176155063,20.29295243473678,-2.7173975506631214
238.3076923076923,23.71785615931149,21.166007314823364,-1.4664463554043887
238.7023411371237,26.76459653509181,21.873149683002865,-0.25527382360566897
239.09698996655516,29.511330036987804,22.440006229568947,0.9127545988680205
239.4916387959866,31.95301456321998,22.887402550429876,2.03468139930216
239.88628762541805,34.087942667222265,23.231191953046814,3.107968344074394
240.2809364548495,35.91754693096613,23.482362694253105,4.13050278170912
240.67558528428094,37.44617308966373,23.647436853438364,5.100599114690913
241.0702341137124,38.6808273040065,23.72915614389694,6.016995709588528
241.4648829431438,39.63090394039933,23.727421676821933,6.878847564523195
241.85953177257522,40.30790004910754,23.640420824849528,7.685715093760218
242.25418060200667,40.72512244119259,23.465841955730962,8.437549421136223
242.64882943143812,40.89739287570411,23.202055050521686,9.13467459723691
243.04347826086956,40.840756397993154,22.84913034740901,9.77776716996595
243.43812709030107,40.572197337831206,22.409582317779776,10.36783354479927
243.83277591973248,40.10936690160887,21.888761784187473,10.906185570121428
244.22742474916393,39.470325694829114,21.294868876574917,11.394414775223826
244.62207357859535,38.67330390667245,20.638613952342357,11.834365674509945
245.0167224080268,37.73648129318039,19.932601593384494,12.228108531970609
245.41137123745824,36.6777885231739,19.190545285663564,12.57791195585491
245.80602006688966,35.51473091274568,18.426432494219053,12.886215665487875
246.2006688963211,34.264235079093446,17.653751541484805,13.155603741178366
246.59531772575252,32.942518599263835,16.884867036005733,13.388778634910704
246.98996655518397,31.564982368438972,16.130596076565002,13.588536184771423
247.38461538461542,30.14612501791586,15.400000224507027,13.75774184052841
247.77926421404683,28.69947847513685,14.700374685142533,13.899308272109943
248.17391304347828,27.237563525495855,14.037391010815357,14.016174497496309
248.5685618729097,25.771864065172164,13.415335617451234,14.111286632260482
248.96321070234114,24.31281861176243,12.83738405570107,14.187580330117497
249.3578595317726,22.869827559915166,12.30585892892007,14.247964952734376
249.752508361204,21.451274626876426,11.822434699610977,14.295309478022759
250.14715719063545,20.064560921882954,11.388271515293187,14.332430129414472
250.54180602006687,18.71615008766425,11.004078537281012,14.362079684389712
250.93645484949832,17.411622996136426,10.670121581852706,14.386938398897044
251.33110367892976,16.155740528222868,10.386197988033375,14.409606465349393
251.72575250836118,14.952513024708281,10.15160301011553,14.432597905617753
252.12040133779263,13.805275056851825,9.965107829384603,14.4583357868627
252.51505016722405,12.716764228612078,9.824961733535043,14.489148637089926
252.9096989966555,11.689202783994496,9.728922691406012,14.527267928924482
253.30434782608694,10.724380851243476,9.674313581890681,14.574826494164261
253.69899665551836,9.823740209116947,9.658096930311471,14.633857728094345
254.0936454849498,8.988457508800055,9.676959379801952,14.7062954411956
254.48829431438122,8.219525928250881,9.727397751708827,14.793974216630398
254.88294314381267,7.517834274621293,9.805800555666119,14.898630134606032
255.2775919732441,6.884242586010605,9.908521342081768,15.021901729258829
255.67224080267553,6.319653317715266,10.031942721289004,15.165331049934801
256.06688963210695,5.825077232109777,10.172531854713975,15.330364706515901
256.4615384615384,5.4016931472760925,10.326889620103378,15.518354787628812
256.85618729096984,5.050900739479366,10.491796451520765,15.730559551014187
257.2508361204013,4.7743656405244055,10.664258081752852,15.968143796905554
257.6454849498328,4.574056124746852,10.841554089041813,16.23217884780855
258.04013377926424,4.452270743522229,11.021291271327115,16.523642071444115
258.4347826086956,4.411656339070294,11.201462443932027,16.843415897674348
258.8294314381271,4.455215955022262,11.380509353366811,17.19228629480465
259.2240802675585,4.58630625936289,11.55738625023341,17.57094068560266
259.61872909698997,4.808624206212769,11.731618725422493,17.979965298520526
260.0133779264214,5.126182786305574,11.903351353702801,18.419841964790024
260.4080267558528,5.543275851326858,12.07337822340909,18.890944387100483
260.8026755852843,6.064432143461819,12.243153024016419,19.393533920297678
